Date,Open,High,Low,Close,Volume
2024-04-03,188.60001,191.35001,188.49001,190.89999,2826200.0
2024-04-04,192.0,193.28,187.34,187.94,2983900.0
2024-04-05,188.59,190.32001,188.020004,189.14,2013600.0
2024-04-08,189.24001,190.24001,188.91,189.82001,2678300.0
2024-04-09,190.53999,191.25,186.66,189.31,2794200.0
2024-04-10,187.42,187.92,185.52,186.039993,3081700.0
2024-04-11,186.039993,186.8,184.58,185.89999,2861700.0
2024-04-12,184.0,185.17,181.69,182.27,3545100.0
2024-04-15,185.57001,187.48,180.88,181.25,3528100.0
2024-04-16,185.59,185.71001,182.86,183.75,4473700.0
2024-04-17,184.16,184.67,181.78,183.10001,3003000.0
2024-04-18,182.35001,183.46001,180.17,181.47,2886700.0
2024-04-19,182.42999,182.8,180.57001,181.58,3037600.0
2024-04-22,182.45,183.32001,180.45,181.89999,3076500.0
2024-04-23,182.73,184.67999,179.0,182.19,5950200.0
2024-04-24,183.17,184.28999,181.39999,184.10001,7616600.0
2024-04-25,168.2,172.45,165.66,168.91,16702200.0
2024-04-26,167.5,167.87,165.73,167.13,8983800.0
2024-04-29,167.39999,168.22,166.23,167.42999,5242200.0
2024-04-30,166.49001,166.75999,165.25999,166.2,6011600.0
2024-05-01,165.69,166.27,164.3,164.42999,4029900.0
2024-05-02,164.35001,164.88,162.62,164.69,3829900.0
2024-05-03,165.0,166.61,164.92,165.71001,3400400.0
2024-05-06,166.5,168.67,166.38,168.61,4222300.0
2024-05-07,169.0,169.28999,167.94,168.38,3155300.0
2024-05-08,168.0099945,170.25999,167.89999,169.89999,3522000.0
2024-05-09,167.5,167.55,165.88,166.27,4266600.0
2024-05-10,167.13,168.070007,166.32001,167.14999,2255400.0
2024-05-13,167.5,168.059998,166.75999,167.56,2414900.0
2024-05-14,167.86,168.13,166.48,167.36,2601000.0
2024-05-15,167.94,168.35001,167.34,168.25999,4468800.0
2024-05-16,168.25999,169.63,167.78999,168.97,3492300.0
2024-05-17,168.97,169.11,167.33,169.029999,2956400.0
2024-05-20,169.0,170.16,168.38,169.92,2726300.0
2024-05-21,169.94,174.97,169.94,173.47,6459800.0
2024-05-22,173.39,174.99001,172.75999,173.69,3294900.0
2024-05-23,175.39,175.46001,170.44,170.67,3341300.0
2024-05-24,171.48,172.0099945,170.21001,170.89,2587400.0
2024-05-28,170.44,171.089996,168.64999,169.66,2629500.0
2024-05-29,168.0,168.63,166.21001,167.050003,4206600.0
2024-05-30,165.56,166.73,164.23,165.63,3853000.0
2024-05-31,165.7,166.97,163.84,166.85001,4905000.0
2024-06-03,166.53999,166.78,163.53,165.28,2776100.0
2024-06-04,164.60001,166.39999,163.88,165.81,2594200.0
2024-06-05,166.41,167.78999,165.78,167.38,3049400.0
2024-06-06,167.38,168.44,166.8,168.2,2207100.0
2024-06-07,168.17999,171.31,168.059998,170.0099945,3475500.0
2024-06-10,169.55,170.75999,168.88,170.38,3444700.0
2024-06-11,169.98,170.0,166.81,169.32001,2951300.0
2024-06-12,171.35001,172.47,168.10001,169.0,3522700.0
2024-06-13,169.0099945,169.59,168.34,169.12,3525700.0
2024-06-14,168.28999,169.47,167.23,169.21001,2777700.0
2024-06-17,168.75999,169.72,167.5,169.5,3239800.0
2024-06-18,170.0,170.75,168.38,170.55,3386400.0
2024-06-20,174.080002,174.28,171.22,173.92,4723100.0
2024-06-21,173.97,174.96001,171.39999,172.46001,10182000.0
2024-06-24,175.0,178.46001,174.14999,175.0099945,4864700.0
2024-06-25,175.14,175.75,171.42,172.60001,4119300.0
2024-06-26,171.28,172.67999,170.41,171.87,2779000.0
2024-06-27,171.12,172.5,170.48,170.85001,2894000.0
2024-06-28,170.85001,173.46001,170.53,172.95,4193300.0
2024-07-01,173.45,176.46001,173.38,175.10001,3321000.0
2024-07-02,174.84,177.49001,174.32001,177.3,2883300.0
2024-07-03,177.88,177.98,175.17,175.73,1649000.0
2024-07-05,175.74001,176.089996,173.95,176.020004,2086000.0
2024-07-08,176.41,178.59,176.0099945,177.64,2503000.0
2024-07-09,177.60001,177.7,175.58,176.48,2512700.0
2024-07-10,176.60001,178.22,174.45,177.84,3462200.0
2024-07-11,177.64999,179.44,176.62,178.31,2806800.0
2024-07-12,178.56,184.16,178.5,182.83,4785600.0
2024-07-15,183.38,184.89999,182.60001,182.88,2925700.0
2024-07-16,184.67,186.60001,184.52,185.81,3374500.0
2024-07-17,185.44,187.94,185.070007,187.45,4225300.0
2024-07-18,186.64,189.47,185.10001,185.22,3487800.0
2024-07-19,186.33,187.0,181.95,183.25,3816000.0
2024-07-22,183.39999,184.97,182.86,184.14999,2488500.0
2024-07-23,184.36,185.38,183.0099945,184.10001,2180200.0
2024-07-24,184.14,185.070007,183.14999,184.020004,6962100.0
2024-07-25,186.8,196.25999,185.3,191.98,9532800.0
2024-07-26,190.50999,193.57001,189.62,191.75,4294900.0
2024-07-29,193.17999,193.28999,189.17999,191.5,3336800.0
2024-07-30,191.48,192.77,189.089996,191.039993,3065000.0
2024-07-31,191.0,194.55,189.99001,192.14,5558400.0
2024-08-01,192.81,193.64,188.28999,189.66,4085400.0
2024-08-02,188.78,189.25999,185.7,189.12,4548800.0
2024-08-05,184.55,185.25999,181.81,183.31,4975000.0
2024-08-06,184.7,188.89999,183.64,186.8,3632500.0
2024-08-07,188.080002,189.87,186.7,186.8,3801900.0
2024-08-08,187.5,192.88,187.0,192.61,3712700.0
